journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
1616-Anuario de Literatura Comparada,0210-7287,2445-2262,<0.1,,
20 Et 21-Revue D Histoire,2649-664X,2649-6100,<0.1,Q4,Q4
2D Materials,2053-1583,2053-1583,4.3,Q2,Q2|Q3
3 Biotech,2190-572X,2190-5738,3.1,Q3,Q3
3D Printing and Additive Manufacturing,2329-7662,2329-7670,2.5,Q3,Q3
3D Printing in Medicine,,2365-6271,3.1,Q2,Q2
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,0128-5157,2550-2247,0.8,,
452 F-Revista de Teoria de la Literatura y Literatura Comparada,,2013-3294,<0.1,,
4OR-A Quarterly Journal of Operations Research,1619-4500,1614-2411,2.0,Q3,Q3
A & A Practice,2575-3126,2575-3126,0.7,Q4,Q4
A&C-Revista de Direito Administrativo & Constitucional,1516-3210,1984-4182,0.4,Q3,Q3
A + U-ARCHITECTURE AND URBANISM,0389-9160,,<0.1,,
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0171-5410,,0.1,,
AACE Clinical Case Reports,2376-0605,,0.9,Q4,Q4
AACE Endocrinology and Diabetes,,3050-9157,,,
AACN Advanced Critical Care,1559-7768,1559-7776,1.5,Q3,Q3
AAPG BULLETIN,0149-1423,1558-9153,2.7,Q2,Q2
AAPPS Bulletin,,2309-4710,4.2,Q1,Q1
AAPS Journal,1550-7416,1550-7416,3.4,Q2,Q2
AAPS PHARMSCITECH,1530-9932,1530-9932,5.1,Q1,Q1
AATCC Journal of Research,2472-3444,2330-5517,1.5,Q3,Q3
AATCC REVIEW,1532-8813,1532-8813,1.2,Q3,Q3|Q4
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,2166-4072,2164-9731,0.4,Q2,Q2
Abacus-A Journal of Accounting Finance and Business Studies,0001-3072,1467-6281,1.7,Q3,Q3
Abakos,2316-9451,2316-9451,<0.1,Q4,Q4
Abanico Veterinario,2007-4204,2448-6132,0.4,Q4,Q4
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,0102-6720,2317-6326,1.8,Q3,Q3
Abdominal Radiology,2366-004X,2366-0058,2.3,Q2,Q2
ABE Journal,2275-6639,2275-6639,0.4,,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,0.2,Q4,Q4
aBIOTECH,2096-6326,2662-1738,8.5,Q1,Q1
Aboriginal History,0314-8769,1837-9389,0.1,Q3,Q3
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,2014-8526,2014-8534,0.1,,
Academia-Revista Latinoamericana de Administracion,1012-8255,2056-5127,1.8,Q3,Q3
Academia y Virtualidad,2011-0731,2011-0731,0.2,Q4,Q4
ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,3.2,Q1,Q1
Academic Journal of Modern Philology,2299-7164,2353-3218,0.1,,
ACADEMIC MEDICINE,1040-2446,1938-808X,4.5,Q1,Q1
Academic Pathology,2374-2895,2374-2895,2.0,Q3,Q3
Academic Pediatrics,1876-2859,1876-2867,2.8,Q1,Q1
ACADEMIC PSYCHIATRY,1042-9670,1545-7230,2.6,Q1,Q1|Q2
ACADEMIC RADIOLOGY,1076-6332,1878-4046,4.7,Q1,Q1
Academy of Management Annals,1941-6520,1941-6067,18.0,Q1,Q1
Academy of Management Discoveries,,2168-1007,5.1,Q1,Q1
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,12.8,Q1,Q1
Academy of Management Learning & Education,1537-260X,,7.4,Q1,Q1
Academy of Management Perspectives,1558-9080,,6.9,Q1,Q1
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,13.8,Q1,Q1
Academy Review,2074-5354,2522-9745,0.4,Q4,Q4
ACADIENSIS,0044-5851,1712-7432,<0.1,Q4,Q4
ACAROLOGIA,0044-586X,2107-7207,1.2,Q3,Q3
ACCESS-Access to science business innovation in the digital economy,,2683-1007,1.3,Q3,Q3|Q4
Access to Justice in Eastern Europe,2663-0575,2663-0583,0.5,Q3,Q3
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,7.4,Q1,Q1
Accion Psicologica,1578-908X,2255-1271,0.7,Q4,Q4
Acciones e Investigaciones Sociales,1132-192X,2340-4507,0.3,Q4,Q4
Accountability in Research-Ethics Integrity and Policy,0898-9621,1545-5815,4.4,Q1,Q1
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2159-4260,2.5,Q2,Q2
Accounting and Finance,0810-5391,1467-629X,2.6,Q2,Q2
Accounting Auditing & Accountability Journal,1368-0668,1758-4205,2.7,Q2,Q2
Accounting Economics and Law-A Convivium,2194-6051,2152-2820,0.9,Q4,Q4
Accounting Education,0963-9284,1468-4489,2.5,Q2,Q2
Accounting Forum,0155-9982,1467-6303,4.1,Q1,Q1
Accounting Historians Journal,0148-4184,2327-4468,1.4,Q3,Q3
Accounting History,1032-3732,1749-3374,1.2,Q3,Q3
Accounting History Review,2155-2851,2155-286X,0.8,Q4,Q4
Accounting Horizons,0888-7993,1558-7975,2.5,Q2,Q2
Accounting in Europe,1744-9480,1744-9499,7.6,Q1,Q1
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,4.5,Q1,Q1
Accounting Perspectives,1911-382X,1911-3838,1.1,Q3,Q3
Accounting Research Journal,1030-9616,1839-5465,3.3,Q2,Q2
ACCOUNTING REVIEW,0001-4826,1558-7967,4.0,Q1,Q1
